label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
TrainTicket,ts-travel-service_cpu,5,tier2_driven,tier2,local,-0.006982195608782335,-0.059139960079840306,0.5530762475049901,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,6,tier1_driven,tier1,upstream,0.03345820359281443,-0.0567824351297405,-0.12041229540918166,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,6,tier2_driven,tier2,local,-0.00500902195608786,-0.0685911377245508,0.5726221157684631,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,7,tier1_driven,tier1,upstream,0.018747784431137757,-0.08984047904191617,-0.12852407185628745,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,7,tier2_driven,tier2,local,-0.00814435129740517,-0.06498171656686633,0.5641599999999998,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,8,tier1_driven,tier1,upstream,0.07113389221556878,-0.0008495009980040359,-0.074292375249501,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,8,tier2_driven,tier2,local,-0.005601916167664674,-0.05383249500998012,0.5504683433133731,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,9,tier1_driven,tier1,upstream,0.06938251497005986,-0.06981141716566863,-0.10743536926147705,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,9,tier2_driven,tier2,local,-0.0020496606786427085,-0.05753389221556887,0.5386454291417165,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,0,tier1_driven,tier1,upstream,0.02836439121756487,-0.11744862275449101,-0.10648463073852295,tier2,False,local,False
TrainTicket,ts-seat-service_cpu,0,tier2_driven,tier2,local,-0.0031378842315368787,-0.08271520958083839,0.5768351297405188,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,1,tier1_driven,tier1,upstream,0.0050540518962075755,-0.16284439121756483,-0.10567073852295411,tier2,False,upstream,True
TrainTicket,ts-seat-service_cpu,1,tier2_driven,tier2,local,-0.002430658682634685,-0.10440878243512988,0.5978574051896204,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,2,tier1_driven,tier1,upstream,0.019432175648702497,-0.1313060279441119,-0.11169500998003995,tier2,False,upstream,True
TrainTicket,ts-seat-service_cpu,2,tier2_driven,tier2,local,-0.004738682634730521,-0.08509764471057883,0.5848862275449102,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,3,tier1_driven,tier1,upstream,-0.0038676247504990033,-0.20893429141716566,-0.11857932135728542,tier2,False,upstream,True
TrainTicket,ts-seat-service_cpu,3,tier2_driven,tier2,local,-0.003542674650698578,-0.09923544910179641,0.5978040718562874,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,4,tier1_driven,tier1,upstream,0.03247489021956083,-0.11263345309381247,-0.0915021157684631,tier2,False,local,False
TrainTicket,ts-seat-service_cpu,4,tier2_driven,tier2,local,-0.004322235528942124,-0.0750344111776447,0.5743546506986028,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,5,tier1_driven,tier1,upstream,0.018041836327345368,-0.09915001996007974,-0.054560479041916174,tier2,False,upstream,True
TrainTicket,ts-seat-service_cpu,5,tier2_driven,tier2,local,-0.0028828742514970074,-0.09057964071856289,0.5923726946107786,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,6,tier1_driven,tier1,upstream,0.006168143712574856,-0.18100982035928143,-0.12056750499001993,tier2,False,upstream,True
TrainTicket,ts-seat-service_cpu,6,tier2_driven,tier2,local,-0.004144830339321333,-0.09045317365269454,0.5895640718562873,tier2,True,local,True
TrainTicket,ts-seat-service_cpu,7,tier1_driven,tier1,upstream,0.02500822355289415,-0.046245748502994094,-0.06662674650698604,tier2,False,local,False
TrainTicket,ts-seat-service_cpu,7,tier2_driven,tier2,local,-0.003810618762475022,-0.10223009980039927,0.5970347305389218,tier2,True,local,True
